x,y,z,qx,qy,qz,qw,t
0.3050488051161225,0.0,0.3962133961629081,0.0,0.9998034591800152,0.0,0.01982531239793528,0.15
0.3282733086502861,0.0,0.3787950185122855,0.0,0.9938426072877025,0.0,0.11080104665381854,0.84
0.34106361494446313,0.0,0.3692022887916527,0.0,0.987026330614709,0.0,0.16055847119745265,1.22
0.37539548973409625,0.0,0.3434533826994278,0.0,0.9564883451608547,0.0,0.2917705358178751,2.24
0.43598115112756647,0.0,0.29801413665432513,0.0,0.860779703560151,0.0,0.5089777027914865,4.04
0.4575227196230225,0.0,0.28185796028273313,0.0,0.8146967483751969,0.0,0.5798872374754261,4.68
0.4716593739481656,0.0,0.2712554695388758,0.0,0.7812660555859783,0.0,0.6241981659610409,5.1
0.4975765735442612,0.0,0.2518175698418041,0.0,0.7138040339136863,0.0,0.7003454870051987,5.87
0.5,0.0,0.24850218781555033,0.0,0.6902761061172479,0.0,0.7235460574998734,6.12
0.5,0.0,0.24648266576910133,0.0,0.6669799183523352,0.0,0.7450756931444701,6.36
0.5,0.0,0.24446314372265232,0.0,0.643012590331561,0.0,0.7658556056301319,6.6
0.5,0.0,0.2394143386065298,0.0,0.5803178944270969,0.0,0.8143900425519093,7.2
0.5,0.0,0.23276674520363516,0.0,0.4922727207036231,0.0,0.8704410195131276,7.99
0.5,0.0,0.22805452709525412,0.0,0.42655412835787243,0.0,0.9044620365614335,8.55
0.5,0.0,0.22494109727364525,0.0,0.3818284566657931,0.0,0.9242332117383679,8.92
0.5,0.0,0.21635812857623699,0.0,0.2541346594467486,0.0,0.9671688450668192,9.94
0.5,0.0,0.21341299225849883,0.0,0.20913546374657638,0.0,0.9778866794284011,10.29
0.5,0.0,0.20987882867721305,0.0,0.1545542615803841,0.0,0.9879843016097687,10.71
0.5,0.0,0.20095927297206329,0.0,0.015067654405348518,0.0,0.9998864764515625,11.77
0.5,0.0,0.21403567822282055,0.07342450490195795,0.0,0.0,0.9973007781406281,12.44
0.5,0.0,0.22388084819925946,0.12471425130279343,0.0,0.0,0.9921927008005974,12.83
0.5,0.0,0.2440760686637496,0.22873862319968055,0.0,0.0,0.9734878747353326,13.63
0.5,0.0,0.2503870750589027,0.26077617365112493,0.0,0.0,0.9653992890280572,13.88
0.5,0.0,0.2559407606866374,0.2887348452071807,0.0,0.0,0.9574091022980644,14.1
0.5,0.0,0.2625042073375967,0.32146032568697536,0.0,0.0,0.9469230480927284,14.36
0.5,0.0,0.2685627734769437,0.35133239545793493,0.0,0.0,0.9362507932716475,14.6
0.5,0.0,0.2748737798720969,0.3820727688234033,0.0,0.0,0.924132241253176,14.85
0.5,0.0,0.2940592393133624,0.4728241015938401,0.0,0.0,0.8811568356155323,15.61
0.5,0.0,0.2998653651969033,0.4993893745126393,0.0,0.0,0.8663776616602455,15.84
0.5,0.0,0.305166610568832,0.5232421842690265,0.0,0.0,0.8521840274268102,16.05
0.5,0.0,0.31173005721979125,0.5522137317491196,0.0,0.0,0.8337025815407503,16.31
0.5,0.0,0.323342308986873,0.6018525554909279,0.0,0.0,0.7986072260185476,16.77
0.5,0.0,0.3326825984516997,0.6401737864177632,0.0,0.0,0.7682301238454166,17.14
0.5,0.0,0.341518007404914,0.6750161224991928,0.0,0.0,0.7378029780138833,17.49
0.5,0.0,0.34757657354426114,0.6980775965175992,0.0,0.0,0.7160221150496764,17.73
0.4932009424436217,-0.013598115112756552,0.35,0.6762726945307436,0.0,0.05808509583696179,0.7343577903677054,18.23
0.48882531134298224,-0.022349377314035527,0.35,0.6546060783696087,0.0,0.09532937985231968,0.7499354582219285,18.49
0.48276674520363516,-0.034466509592729684,0.35,0.6223476820452767,0.0,0.14655153733173418,0.7688992193770108,18.85
0.47704476607202967,-0.04591046785594067,0.35,0.5895796217619933,0.0,0.19439001515666682,0.7839696369186602,19.19
0.47300572197913165,-0.053988556041736704,0.35,0.5651678459540804,0.0,0.2277483015833129,0.7929161475373933,19.43
0.4687983843823629,-0.06240323123527426,0.35,0.5386645726005144,0.0,0.2620624433206046,0.800727015921119,19.68
0.4605520026926961,-0.07889599461460785,0.35,0.4837350128530177,0.0,0.32778179621948594,0.8115168090725037,20.17
0.4568495456075396,-0.08630090878492082,0.35,0.45787460159500726,0.0,0.3565224646097018,0.814397066204709,20.39
0.4501178054527096,-0.09976438909458088,0.35,0.4091203059778462,0.0,0.40737565363416145,0.8164959596120077,20.79
0.44641534836755303,-0.10716930326489396,0.35,0.38142327423280853,0.0,0.43449809921624666,0.8159213734490551,21.01
0.4401884887243353,-0.11962302255132942,0.35,0.3335707380171521,0.0,0.47861986962372655,0.8121906076408786,21.38
0.4361494446314373,-0.12770111073712545,0.35,0.30176013961283227,0.0,0.5061630137167522,0.8079231533295844,21.62
0.4321104005385393,-0.13577919892292148,0.35,0.2694097677214617,0.0,0.5328007586563951,0.8022105263778567,21.86
0.4280713564456412,-0.14385728710871762,0.35,0.23657748907476112,0.0,0.5584854561731009,0.7950629452478619,22.1
0.42403231235274325,-0.15193537529451354,0.35,0.2033220324152215,0.0,0.5831711627610091,0.7864931951762306,22.34
0.41999326825984523,-0.16001346348030956,0.35,0.16970288344505424,0.0,0.6068137218594085,0.7765166053044628,22.58
0.41376640861662745,-0.17246718276674514,0.35,0.11730008073560161,0.0,0.6411217212049037,0.7584218019405053,22.95
0.4077078424772805,-0.18458431504543907,0.35,0.06583307421953444,0.0,0.671888049108359,0.7377211233278934,23.31
0.4036687983843824,-0.19266240323123524,0.35,0.031361728321338544,0.0,0.6909041140956789,0.7222658424170174,23.55
0.4,-0.2,0.3433860652978795,0.0,-0.06920560044570095,0.7054114348615814,0.7054114348615814,24.03
0.4,-0.2,0.3373274991585325,0.0,-0.1323169486563819,0.7008895152227149,0.7008895152227149,24.27
0.4,-0.2,0.3312689330191855,0.0,-0.1948958616974496,0.6935472597787439,0.6935472597787439,24.51
0.4,-0.2,0.3224335240659711,0.0,-0.28468274318871645,0.6778479681058827,0.6778479681058827,24.86
0.4,-0.2,0.3067822282059912,0.0,-0.43728314360650333,0.635918018425966,0.635918018425966,25.48
0.4,-0.2,0.29466509592729717,0.0,-0.5475769871406333,0.5916753515036717,0.5916753515036717,25.96
0.4,-0.2,0.28860652978795026,0.0,-0.5995277418189162,0.5659357237308451,0.5659357237308451,26.2
0.4,-0.2,0.28254796364860313,0.0,-0.6490660341622944,0.5379188058140519,0.5379188058140519,26.44
0.4,-0.2,0.27320767418377656,0.0,-0.7202532779016273,0.4905278869095831,0.4905278869095831,26.81
0.4,-0.2,0.2643722652305621,0.0,-0.7812660555859783,0.4413747559552581,0.4413747559552581,27.16
0.4,-0.2,0.25831369909121515,0.0,-0.8192699596243576,0.40546068444246447,0.40546068444246447,27.4
0.4,-0.2,0.2461965668125211,0.0,-0.885248033990611,0.32888897694796493,0.32888897694796493,27.88
0.4,-0.2,0.24039044092898015,0.0,-0.9118748070793089,0.2902450139227833,0.2902450139227833,28.11
0.4,-0.2,0.23382699427802084,0.0,-0.9379119629777167,0.24527652731487187,0.24527652731487187,28.37
0.4,-0.2,0.2242342645573881,0.0,-0.9679701579613619,0.1775299598606617,0.1775299598606617,28.75
0.4,-0.2,0.2093402894648267,0.0,-0.9952202889697885,0.06905279293008687,0.06905279293008687,29.34
0.4,-0.2,0.2,0.0,-1.0,4.329780281177466e-17,4.329780281177466e-17,29.71
